date,TSLA_first_hour_vol,mean,std,abs_sentiment_score,news_count,is_option_expiry,is_first_trading_day,is_last_trading_day,is_last_trading_day_of_quarter,Friday,Monday,Thursday,Tuesday,Wednesday,day_total_vol
8/16/2024,3.0918519,-0.224103911,0.114952958,0.224103911,4,1,0,0,0,1,0,0,0,0,86128594
8/19/2024,3.0545235,-0.043494614,0.34992439,0.258935326,16,0,0,0,0,0,1,0,0,0,71623640
8/20/2024,3.0218046,0.047719846,0.279407929,0.190917903,23,0,0,0,0,0,0,0,1,0,70689530
8/21/2024,2.4676894,0.031549566,0.287667832,0.186275866,13,0,0,0,0,0,0,0,0,1,67294655
8/22/2024,1.9018608,0.275629726,0.547715715,0.413253531,3,0,0,0,0,0,0,1,0,0,72287794
8/23/2024,2.5057699,0.095907147,0.315846545,0.222020034,10,0,0,0,0,1,0,0,0,0,75482609
8/26/2024,1.9424702,0.12864862,0.414621473,0.317431183,8,0,0,0,0,0,1,0,0,0,55863911
8/27/2024,2.4693434,-0.050445351,0.280699419,0.195178752,12,0,0,0,0,0,0,0,1,0,59058074
8/28/2024,1.7528264,-0.037790005,0.29973489,0.168930167,11,0,0,0,0,0,0,0,0,1,59880458
8/29/2024,2.2428022,-0.028952691,0.375207432,0.28336732,27,0,0,0,0,0,0,1,0,0,59473034
8/30/2024,1.7862511,-0.032048436,0.195142639,0.14850365,17,0,0,1,0,1,0,0,0,0,57283841
9/3/2024,2.8106444,-0.016150174,0.384306258,0.286357963,40,0,1,0,0,0,0,0,1,0,71846131
9/4/2024,2.7379447,0.044624734,0.465992852,0.358700252,8,0,0,0,0,0,0,0,0,1,76719168
9/5/2024,4.1644899,0.154670244,0.368220068,0.294587624,19,0,0,0,0,0,0,1,0,0,114492313
9/6/2024,3.7356091,0.105614962,0.443843659,0.36472889,11,0,0,0,0,1,0,0,0,0,102834883
9/9/2024,2.5086729,0.154982601,0.477529569,0.387509443,24,0,0,0,0,0,1,0,0,0,62838534
9/10/2024,2.8728181,0.063615706,0.199454895,0.11057131,16,0,0,0,0,0,0,0,1,0,74569999
9/11/2024,2.4339986,-0.033186024,0,0.033186024,1,0,0,0,0,0,0,0,0,1,79334651
9/12/2024,2.6237834,0.103887687,0.085066688,0.103887687,3,0,0,0,0,0,0,1,0,0,68799004
9/13/2024,2.0930898,-0.104654089,0.489588244,0.374663271,5,0,0,0,0,1,0,0,0,0,56317950
9/16/2024,1.7733737,-0.029200897,0.321620373,0.222903037,6,0,0,0,0,0,1,0,0,0,51667850
9/17/2024,2.5871621,0.057698561,0.354917928,0.270035451,6,0,0,0,0,0,0,0,1,0,63052070
9/18/2024,1.7294703,0.085032654,0.368498186,0.323844427,8,0,0,0,0,0,0,0,0,1,74187258
9/19/2024,3.0542461,-0.280380668,0.311375799,0.331556752,12,0,0,0,0,0,0,1,0,0,95468640
