Datetime,NVDA,AMZN,AAPL,TSLA,BAC
2024-03-06 09:30:00-05:00,18173096,8077999,20056778,36707530,9731144
2024-03-06 10:30:00-05:00,0,72652,0,378801,4959456
2024-03-06 11:30:00-05:00,3623441,2185594,5004145,8085199,4780032
2024-03-06 12:30:00-05:00,4344532,1682131,3526171,6509836,3132929
2024-03-06 13:30:00-05:00,5264343,2399264,4963027,9773182,5526125
2024-03-06 14:30:00-05:00,4253541,1827855,4147280,7355574,5654665
2024-03-06 15:30:00-05:00,19538149,10796078,21763131,33837205,5713314
2024-03-07 09:30:00-05:00,19158572,7088032,15511305,33558359,7424652
2024-03-07 10:30:00-05:00,9127707,4281461,8462490,17309544,3882533
2024-03-07 11:30:00-05:00,5457234,2887406,6669342,11527795,4515748
2024-03-07 12:30:00-05:00,4496263,3933850,5894598,8941373,3821701
2024-03-07 13:30:00-05:00,5376423,3749178,9957544,11084017,3590641
2024-03-07 14:30:00-05:00,6114571,2561215,6424710,9710087,2881704
2024-03-07 15:30:00-05:00,5331304,3313641,7405147,6176931,4627087
2024-03-08 09:30:00-05:00,21881251,7983071,16160343,25953205,7565902
2024-03-08 10:30:00-05:00,25042101,4022068,9142498,18238810,7069947
2024-03-08 11:30:00-05:00,21364970,3771724,10400918,10327639,4866716
2024-03-08 12:30:00-05:00,12407589,5152615,6861688,6612918,4043711
2024-03-08 13:30:00-05:00,11312076,3386998,7762851,7025625,3594274
2024-03-08 14:30:00-05:00,10693960,3787594,8844545,7754498,5028234
2024-03-08 15:30:00-05:00,5829805,3809997,8836925,6098503,4955969
2024-03-11 09:30:00-04:00,23147114,8673010,17506196,32669310,5865997
2024-03-11 10:30:00-04:00,12189185,3649956,7509998,12522286,2910733
2024-03-11 11:30:00-04:00,6303053,2372634,5417242,9774942,1896616
2024-03-11 12:30:00-04:00,5193146,1926243,3959687,7810491,2903326
2024-03-11 13:30:00-04:00,5432802,2439822,5585359,6280246,4678056
2024-03-11 14:30:00-04:00,6046900,2253014,4048971,6814192,4840686
2024-03-11 15:30:00-04:00,4636272,3245461,5939837,6912466,5104634
2024-03-12 09:30:00-04:00,17053848,9002914,13927121,31864939,5151062
2024-03-12 10:30:00-04:00,13976254,6353933,6625420,15417467,3567228
2024-03-12 11:30:00-04:00,7061707,3520912,5867479,11641514,3178109
2024-03-12 12:30:00-04:00,7879400,3209291,6672048,7815653,3007782
2024-03-12 13:30:00-04:00,5282444,2180863,5308038,5513335,2169235
2024-03-12 14:30:00-04:00,5290694,2562517,5389586,6246539,3370126
2024-03-12 15:30:00-04:00,5590110,3247502,6368886,5377583,3576341
2024-03-13 09:30:00-04:00,21583378,7166612,11960722,30933107,6791083
2024-03-13 10:30:00-04:00,8676657,3683874,6130049,19034874,4110803
2024-03-13 11:30:00-04:00,5758617,2953121,4316300,9469837,3616029
2024-03-13 12:30:00-04:00,5715229,3348948,5621506,7959884,4161427
2024-03-13 13:30:00-04:00,6311628,1974827,3845695,10034444,2566662
2024-03-13 14:30:00-04:00,7508597,2874783,4228485,11946926,3145305
2024-03-13 15:30:00-04:00,4807886,3231105,5993931,8498560,6373838
2024-03-14 09:30:00-04:00,17586134,7925310,14937836,34625098,7917585
2024-03-14 10:30:00-04:00,7410472,6468799,8727021,18732752,4196733
2024-03-14 11:30:00-04:00,8330243,4207412,6752491,19076589,4731780
2024-03-14 12:30:00-04:00,5500170,3151290,9628933,11238904,3274523
2024-03-14 13:30:00-04:00,6601929,3206459,7128040,10254002,3313851
2024-03-14 14:30:00-04:00,6636584,4686490,6609776,14676599,4115139
2024-03-14 15:30:00-04:00,4905027,5702763,7750362,10201732,6260446
2024-03-15 09:30:00-04:00,12947111,14615152,21995996,23558989,11425659
2024-03-15 10:30:00-04:00,6241803,3215373,5599492,9254816,4580381
2024-03-15 11:30:00-04:00,3657846,2800081,3771263,21234428,3963770
2024-03-15 12:30:00-04:00,2992801,2240725,3721006,0,3261124
2024-03-15 13:30:00-04:00,2913426,1996466,3679425,5853909,3921720
2024-03-15 14:30:00-04:00,4211965,2152689,4328832,6725803,3793184
2024-03-15 15:30:00-04:00,4296884,3251772,6260589,5018726,8855101
2024-03-18 09:30:00-04:00,18489818,7833846,22893626,32756011,6075131
2024-03-18 10:30:00-04:00,11136091,3808248,8667055,24876880,4396461
2024-03-18 11:30:00-04:00,8430326,2647154,7068789,12296519,3362466
2024-03-18 12:30:00-04:00,7170627,2413335,5477904,9137977,3203217
2024-03-18 13:30:00-04:00,6112354,2266991,4053801,8102949,3538173
2024-03-18 14:30:00-04:00,6012741,2070924,5777258,7790200,3510633
2024-03-18 15:30:00-04:00,3910472,2880943,7286587,7588624,5684165
2024-03-19 09:30:00-04:00,18599093,7291950,11721089,29584317,7763812
2024-03-19 10:30:00-04:00,7980841,2742268,6172012,12597093,4388533
2024-03-19 11:30:00-04:00,6725559,2483454,4206842,8040299,2589178
2024-03-19 12:30:00-04:00,10271691,2288593,4140302,7104257,3141943
